Tool:	elog
Version:	2.0
Date:	2025-07-03 14:03:47
System Name:	C:/Users/DELL/OneDrive/Máy tính/Gofa_caffe_1/Virtual Controllers/CRB15000_5_95
RobotWare:	7.18.1
RobotControl:	7.18.1
Controller Name:	CRB15000_5_95
Controller Id:	VIRTUAL_CONTROLLER



Common log messages
SeqNo     	Type	Category            	Code    	Title     	Date                		Description		Arguments	
63        	I		Common              	10056   	<title>   	1970-01-01 07:01:44:527002	<description>	
62        	I		Common              	10401   	<title>   	1970-01-01 07:01:44:030017	<description>	{args: "Admin (DELL)", "RobotStudio@DESKTOP-G8ELRFG"}
61        	I		Common              	10401   	<title>   	1970-01-01 07:01:44:030004	<description>	{args: "Admin", "RobAPI2-Client"}
60        	I		Common              	10010   	<title>   	1970-01-01 07:01:34:649023	<description>	
59        	W		Common              	90526   	<title>   	1970-01-01 07:01:34:645001	<description>	
58        	I		Common              	10012   	<title>   	1970-01-01 07:01:30:649012	<description>	
57        	I		Common              	10011   	<title>   	1970-01-01 07:01:30:639025	<description>	
56        	I		Common              	10017   	<title>   	1970-01-01 07:01:29:890066	<description>	
55        	I		Common              	10010   	<title>   	1970-01-01 07:01:29:890047	<description>	
54        	I		Common              	10016   	<title>   	1970-01-01 07:01:29:889013	<description>	
53        	W		Common              	90526   	<title>   	1970-01-01 07:01:29:889001	<description>	
52        	I		Common              	10400   	<title>   	1970-01-01 07:01:29:837004	<description>	{args: "Admin", "RobAPI2-Client"}
51        	I		Common              	10400   	<title>   	1970-01-01 07:01:29:830001	<description>	{args: "Admin (DELL)", "RobotStudio@DESKTOP-G8ELRFG"}
50        	I		Common              	10129   	<title>   	1970-01-01 07:01:28:089009	<description>	{args: "2", "T_ROB1", "9"}
49        	I		Common              	10150   	<title>   	1970-01-01 07:01:28:010222	<description>	{args: "1", "SC_CBC"}
48        	I		Common              	10150   	<title>   	1970-01-01 07:01:28:010209	<description>	{args: "3", "T_GOFA_LED"}
47        	I		Common              	10129   	<title>   	1970-01-01 07:01:28:010198	<description>	{args: "3", "T_GOFA_LED", "9"}
46        	I		Common              	10002   	<title>   	1970-01-01 07:01:28:010159	<description>	{args: "2", "0", "T_ROB1"}
45        	I		Common              	10150   	<title>   	1970-01-01 07:01:28:010143	<description>	{args: "3", "T_GOFA_LED"}
44        	I		Common              	10150   	<title>   	1970-01-01 07:01:28:010135	<description>	{args: "2", "T_ROB1"}
43        	I		Common              	10002   	<title>   	1970-01-01 07:01:28:010122	<description>	{args: "3", "0", "T_GOFA_LED"}
42        	I		Common              	10002   	<title>   	1970-01-01 07:01:28:010089	<description>	{args: "1", "0", "SC_CBC"}
41        	W		Common              	40210   	<title>   	1970-01-01 07:01:28:010068	<description>	{args: "T_GOFA_LED"}
40        	I		Common              	10015   	<title>   	1970-01-01 07:01:28:010036	<description>	
39        	I		Common              	10012   	<title>   	1970-01-01 07:01:28:010009	<description>	
38        	I		Common              	10045   	<title>   	1970-01-01 07:00:00:033013	<description>	
37        	I		Common              	10056   	<title>   	1970-01-01 07:01:32:486002	<description>	
36        	I		Common              	10129   	<title>   	1970-01-01 07:01:23:900009	<description>	{args: "2", "T_ROB1", "9"}
35        	I		Common              	10150   	<title>   	1970-01-01 07:01:23:821187	<description>	{args: "3", "T_GOFA_LED"}
34        	I		Common              	10129   	<title>   	1970-01-01 07:01:23:821176	<description>	{args: "3", "T_GOFA_LED", "9"}
33        	I		Common              	10002   	<title>   	1970-01-01 07:01:23:821137	<description>	{args: "2", "0", "T_ROB1"}
32        	I		Common              	10150   	<title>   	1970-01-01 07:01:23:821121	<description>	{args: "3", "T_GOFA_LED"}
31        	I		Common              	10150   	<title>   	1970-01-01 07:01:23:821113	<description>	{args: "2", "T_ROB1"}
30        	I		Common              	10015   	<title>   	1970-01-01 07:01:23:821036	<description>	
29        	I		Common              	10012   	<title>   	1970-01-01 07:01:23:821009	<description>	
28        	I		Common              	10253   	<title>   	1970-01-01 07:01:19:364120	<description>	{args: "3", ""}
27        	I		Common              	10040   	<title>   	1970-01-01 07:01:19:364089	<description>	{args: "T_ROB1", "", "91808952", "2856"}
26        	I		Common              	10002   	<title>   	1970-01-01 07:01:19:364018	<description>	{args: "3", "0", "T_GOFA_LED"}
25        	I		Common              	10002   	<title>   	1970-01-01 07:01:19:364010	<description>	{args: "2", "0", "T_ROB1"}
24        	I		Common              	10002   	<title>   	1970-01-01 07:01:19:364002	<description>	{args: "1", "0", "SC_CBC"}
23        	I		Common              	10045   	<title>   	1970-01-01 07:00:00:033013	<description>	
22        	I		Common              	10056   	<title>   	1970-01-01 07:01:44:262002	<description>	
21        	I		Common              	10255   	<title>   	1970-01-01 07:01:43:261060	<description>	{args: "5", "Default User"}
20        	I		Common              	10254   	<title>   	1970-01-01 07:01:43:261049	<description>	{args: "4", "Default User"}
19        	I		Common              	10252   	<title>   	1970-01-01 07:01:43:261041	<description>	{args: "2", "Default User"}
18        	I		Common              	10251   	<title>   	1970-01-01 07:01:43:261025	<description>	{args: "1", "Default User"}
17        	I		Common              	10250   	<title>   	1970-01-01 07:01:43:261011	<description>	{args: "0", "Default User"}
